内容,分词,分词文本,情感标签,情感置信度
LGBT,['LGBT'],LGBT,positive,0.8170331716537476
非常重要,"['非常', '重要']",非常 重要,positive,0.987288236618042
弹幕别再纠结ai视频了,"['弹幕', '纠结', 'ai', '视频']",弹幕 纠结 ai 视频,positive,0.938489556312561
老黄硬麻了,['黄硬麻'],黄硬麻,negative,0.8046496510505676
生产力高度发达，按需所取。现在已经实现一半了,"['生产力', '高度发达', '需所取', '现在', '已经', '实现', '一半']",生产力 高度发达 需所取 现在 已经 实现 一半,positive,0.9600831866264343
至少会AI的人会先淘汰掉不会AI的人,"['至少', 'AI', '人会', '淘汰', '不会', 'AI']",至少 AI 人会 淘汰 不会 AI,positive,0.8664426803588867
不好意思，不养懒汉。你说你不懒？哈哈哈哈哈哈哈哈,"['不好意思', '不养', '懒汉', '哈哈哈哈', '哈哈哈哈']",不好意思 不养 懒汉 哈哈哈哈 哈哈哈哈,positive,0.9173170924186707
太好笑了,['好笑'],好笑,positive,0.8393673300743103
就是行业内和行业外,"['行业', '行业']",行业 行业,positive,0.7350564002990723
这不一下了几个做视频没了工作,"['一下', '几个', '视频', '工作']",一下 几个 视频 工作,negative,0.6082473397254944
前面绿字笑死，九成是没出过象牙塔的，要么学生要么tzn,"['前面', '绿字', '九成', '出过', '象牙塔', '学生', 'tzn']",前面 绿字 九成 出过 象牙塔 学生 tzn,negative,0.7160418033599854
这才是最恐怖的一点，让大家失去希望,"['这才', '恐怖', '一点', '大家', '失去', '希望']",这才 恐怖 一点 大家 失去 希望,negative,0.8579167723655701
我36.十年没上班了,"['十年', '上班']",十年 上班,positive,0.5560092329978943
感觉看了又感觉像是没看,"['感觉', '感觉', '像是']",感觉 感觉 像是,positive,0.7170553207397461
挪威，芬兰等这些欧服玩家翘着二郎腿看你们流口水,"['挪威', '芬兰', '欧服', '玩家', '翘着', '二郎腿', '流口水']",挪威 芬兰 欧服 玩家 翘着 二郎腿 流口水,positive,0.6158604621887207
不符合人性,"['符合', '人性']",符合 人性,negative,0.9178666472434998
由人类掌握决策权,"['人类', '掌握', '决策权']",人类 掌握 决策权,positive,0.9781157374382019
UBI一旦出现代表着阶级看已经断层再无翻身之日,"['UBI', '出现', '代表', '阶级', '已经', '断层', '翻身']",UBI 出现 代表 阶级 已经 断层 翻身,negative,0.7562336325645447
这么多年工资没涨，找找自己的原因（不是）,"['多年', '工资', '没涨', '原因', '不是']",多年 工资 没涨 原因 不是,positive,0.9444774389266968
幸好我是学博物馆的，虽然冷门就业难，但是永远研究人类的文物为人类服务，最不可能被ai替代的行业，哪怕确实会用到一些ai技术,"['幸好', '博物馆', '冷门', '就业', '永远', '研究', '人类', '文物', '人类', '服务', '可能', 'ai', '替代', '行业', '确实', '用到', 'ai', '技术']",幸好 博物馆 冷门 就业 永远 研究 人类 文物 人类 服务 可能 ai 替代 行业 确实 用到 ai 技术,positive,0.980097234249115
不要高估人性,"['不要', '高估', '人性']",不要 高估 人性,negative,0.6486001014709473
问题是现在三等舱的人没有选择的权利,"['问题', '现在', '三等舱', '没有', '选择', '权利']",问题 现在 三等舱 没有 选择 权利,positive,0.6889163255691528
人认定自己这种在自然演化里形成的当下的生理机体结构才可称之为文明，客观来看，用人主观表达的话来形容是有相当自私与狭隘的生理结构表达的特性在里面的。,"['认定', '这种', '自然', '演化', '形成', '当下', '生理', '机体', '结构', '称之为', '文明', '客观', '来看', '用人', '主观', '表达', '形容', '相当', '自私', '狭隘', '生理', '结构', '表达', '特性', '里面']",认定 这种 自然 演化 形成 当下 生理 机体 结构 称之为 文明 客观 来看 用人 主观 表达 形容 相当 自私 狭隘 生理 结构 表达 特性 里面,positive,0.9833680987358093
人类交流里为了尽可能减少信息认识差异带来的理解结果差异，一定是更复杂的认识一方去兼容相对简单的一方，深入了解对方的认识角度层次，改变自己的表达方式去让对方理解，AI的未来也是如此，AI是更复杂的,"['人类', '交流', '尽可能减少', '信息', '认识', '差异', '带来', '理解', '差异', '一定', '复杂', '认识', '一方', '兼容', '相对', '简单', '一方', '深入', '了解', '对方', '认识', '角度', '层次', '改变', '表达方式', '对方', '理解', 'AI', '未来', 'AI', '复杂']",人类 交流 尽可能减少 信息 认识 差异 带来 理解 差异 一定 复杂 认识 一方 兼容 相对 简单 一方 深入 了解 对方 认识 角度 层次 改变 表达方式 对方 理解 AI 未来 AI 复杂,positive,0.9858174920082092
不是可控性不高，而是其表面的复杂性实用它的人无法精准预测产出的结果，进而无法以清晰的目的结果推导出自己该怎么使用，这也是人类沟通中不同的认识差异导致的意外结果的原因,"['不是', '可控性', '不高', '表面', '复杂性', '实用', '无法', '精准', '预测', '产出', '无法', '清晰', '目的', '推导', '使用', '人类', '沟通', '不同', '认识', '差异', '导致', '意外', '原因']",不是 可控性 不高 表面 复杂性 实用 无法 精准 预测 产出 无法 清晰 目的 推导 使用 人类 沟通 不同 认识 差异 导致 意外 原因,positive,0.9087548851966858
社会叙事是个别人主管创造出来的，或许已经有了，但其可能因为个人什么原因不一定表达出来,"['社会', '叙事', '个别人', '主管', '创造', '出来', '或许', '已经', '可能', '个人', '原因', '一定', '表达出来']",社会 叙事 个别人 主管 创造 出来 或许 已经 可能 个人 原因 一定 表达出来,positive,0.9177722334861755
这个我很久之前就自己想出来过hhh,"['之前', '出来', 'hhh']",之前 出来 hhh,positive,0.9125638604164124
取代不好吗？,"['取代', '不好']",取代 不好,negative,0.7093431949615479
大部分都是ai,"['大部分', 'ai']",大部分 ai,negative,0.6007347702980042
up主升华了,"['up', '升华']",up 升华,positive,0.9697646498680115
直接躺平,"['直接', '躺平']",直接 躺平,negative,0.7494685649871826
AI在国内没铺开的时候说看人家美国的创新多厉害，铺开后又开始喊失业,"['AI', '国内', '铺开', '美国', '创新', '厉害', '铺开', '失业']",AI 国内 铺开 美国 创新 厉害 铺开 失业,positive,0.7337535619735718
工作=个人价值贡献,"['工作', '个人', '价值', '贡献']",工作 个人 价值 贡献,positive,0.8776703476905823
你这是国内的例子，国外快递小哥可赚的不少,"['国内', '例子', '国外', '快递', '小哥', '不少']",国内 例子 国外 快递 小哥 不少,negative,0.5563427209854126
公务员的实质工作门槛很低是最容易被代替的，已经有ai公务员了好吧,"['公务员', '实质', '工作', '门槛', '容易', '代替', '已经', 'ai', '公务员']",公务员 实质 工作 门槛 容易 代替 已经 ai 公务员,positive,0.9408166408538818
UP主读着AI写的稿自己都不知道自己在说些什么  笑麻了,"['UP', '主读', 'AI', '知道', '说些', '笑麻']",UP 主读 AI 知道 说些 笑麻,negative,0.7276268601417542
信息本身不重要，如何有效产生有价值的信息的过程和方法才重要,"['信息', '本身', '重要', '有效', '产生', '价值', '信息', '过程', '方法', '重要']",信息 本身 重要 有效 产生 价值 信息 过程 方法 重要,positive,0.9430592060089111
这期视频文案很像deepseek写的,"['视频', '文案', 'deepseek']",视频 文案 deepseek,negative,0.507350742816925
去思考人类本身存在的意义是什么？,"['思考', '人类', '本身', '存在', '意义']",思考 人类 本身 存在 意义,positive,0.9887645244598389
提升代码能力,"['提升', '代码', '能力']",提升 代码 能力,positive,0.9439672827720642
胖东来：你赚了那么多钱，为什么不选择给员工涨工资？让员工多休息？而选择钱都留给自己，更残酷的压榨员工？,"['东来', '多钱', '选择', '员工', '涨工资', '员工', '休息', '选择', '留给', '残酷', '压榨', '员工']",东来 多钱 选择 员工 涨工资 员工 休息 选择 留给 残酷 压榨 员工,positive,0.6085867881774902
关键是谁选,['关键'],关键,positive,0.8421096801757812
有很多人就是把奴役别人当成生命意义的,"['很多', '奴役', '别人', '当成', '生命', '意义']",很多 奴役 别人 当成 生命 意义,positive,0.9646102786064148
你有吗？,[],,negative,0.629389762878418
这个想法被提出来。到底是起猛了还是睡懵了,"['想法', '提出', '到底']",想法 提出 到底,positive,0.5848650932312012
拔剑四顾心茫然,"['拔剑', '四顾', '茫然']",拔剑 四顾 茫然,positive,0.6329500079154968
不同意的人：“大家都有饭吃了，那我还能逼谁去啊”,"['同意', '大家']",同意 大家,positive,0.6279301643371582
也不擅长确定他所执行出的结果是不是我们想要的,"['擅长', '确定', '执行', '是不是', '想要']",擅长 确定 执行 是不是 想要,positive,0.5796405076980591
AI种地，每人发粮，全解,"['AI', '种地', '每人', '发粮', '全解']",AI 种地 每人 发粮 全解,positive,0.847281277179718
ai不能麦,"['ai', '不能']",ai 不能,negative,0.7385726571083069
完全忽略经济学因素啊,"['完全', '忽略', '经济学', '因素']",完全 忽略 经济学 因素,negative,0.6438643336296082
单身狗一点都不慌,"['单身', '一点']",单身 一点,positive,0.9476706385612488
意思就是还没想好怎么骗,"['意思', '没想']",意思 没想,negative,0.8140204548835754
教育领域,['教育领域'],教育领域,positive,0.9750192165374756
准备那啥 碳基们,"['准备', '碳基们']",准备 碳基们,negative,0.6392824649810791
额 太抽象了 姐们~这是反人性的,"['抽象', '姐们', '人性']",抽象 姐们 人性,negative,0.5325464606285095
轻快的小曲儿来了,"['轻快', '小曲儿']",轻快 小曲儿,positive,0.9530611634254456
最后着价值上的有点生硬了,"['最后', '价值', '有点', '生硬']",最后 价值 有点 生硬,positive,0.6025251746177673
我去，这AI做的真好啊,['AI'],AI,negative,0.5338825583457947
那是苏联还在,['苏联'],苏联,negative,0.6026438474655151
就像一个最简单的道理。。只看到了AI的无休止工作。。但是产出的是人在使用啊。,"['简单', '道理', '看到', 'AI', '无休止', '工作', '产出', '使用']",简单 道理 看到 AI 无休止 工作 产出 使用,positive,0.812091588973999
把自己培养成agent,"['培养', 'agent']",培养 agent,positive,0.9877342581748962
不进步就要被淘汰。很简单的道理。。AI并不负责创造,"['进步', '就要', '淘汰', '简单', '道理', 'AI', '负责', '创造']",进步 就要 淘汰 简单 道理 AI 负责 创造,negative,0.703667938709259
怕的是用不起AI,"['不起', 'AI']",不起 AI,negative,0.6363002061843872
所以国外就很聪明 不要外卖 不要网购 不要加班 不要单休... ...,"['国外', '聪明', '不要', '外卖', '不要', '网购', '不要', '加班', '不要', '单休']",国外 聪明 不要 外卖 不要 网购 不要 加班 不要 单休,negative,0.8459179401397705
潘多拉的盒子打开了，没必要悲观也别带着希望,"['潘多拉', '盒子', '打开', '必要', '悲观', '希望']",潘多拉 盒子 打开 必要 悲观 希望,negative,0.839963436126709
人没存在的意义了！,"['存在', '意义']",存在 意义,negative,0.7589304447174072
还安全网，说没了就没了，在国内都是自由职业者,"['安全网', '国内', '自由职业者']",安全网 国内 自由职业者,positive,0.6664448380470276
正在发生中！,"['正在', '发生']",正在 发生,positive,0.8268622159957886
与我无关了这就,['与我无关'],与我无关,negative,0.9118558764457703
取代型多,['取代'],取代,positive,0.516515851020813
掌握在少数的人类手里,"['掌握', '少数', '人类', '手里']",掌握 少数 人类 手里,positive,0.9895888566970825
100%,['100%'],100%,positive,0.9319047927856445
有钱人支持UBI，穷逼们开始反对了，哈哈哈哈,"['有钱人', '支持', 'UBI', '穷逼们', '反对', '哈哈哈哈']",有钱人 支持 UBI 穷逼们 反对 哈哈哈哈,positive,0.9889454245567322
这个词 不要太多了,"['不要', '太多']",不要 太多,positive,0.9026040434837341
当AI接管自动化生产时，人类将被机器人取代。,"['AI', '接管', '自动化', '生产', '人类', '机器人', '取代']",AI 接管 自动化 生产 人类 机器人 取代,positive,0.9692119359970093
取代了之后，AI也很快就失业了。,"['取代', '之后', 'AI', '很快', '失业']",取代 之后 AI 很快 失业,positive,0.7385276556015015
活在当下，再考虑未来,"['活在', '当下', '考虑', '未来']",活在 当下 考虑 未来,positive,0.9706868529319763
我支持这个,['支持'],支持,positive,0.9561021327972412
看样子和风格，东北的吧,"['看样子', '风格', '东北']",看样子 风格 东北,positive,0.8894684314727783
前面的工资涨？你物价不涨？,"['前面', '工资', '物价']",前面 工资 物价,negative,0.5244967341423035
撸子份子,"['撸子', '份子']",撸子 份子,negative,0.7431241273880005
你这BGM，不知道的还以为诺兰出新电影了呢,"['BGM', '知道', '以为', '诺兰', '出新', '电影']",BGM 知道 以为 诺兰 出新 电影,negative,0.7693122029304504
你这BGM，不知道的还以为诺拉出新电影了呢,"['BGM', '知道', '以为', '诺拉', '出新', '电影']",BGM 知道 以为 诺拉 出新 电影,negative,0.6921692490577698
不是，哥们，比我工资高,"['不是', '哥们', '工资']",不是 哥们 工资,positive,0.6165151000022888
文案确实有AI的意思、,"['文案', '确实', 'AI', '意思']",文案 确实 AI 意思,positive,0.9826195240020752
失业的呢,['失业'],失业,positive,0.5265404582023621
公务员无所畏惧,"['公务员', '无所畏惧']",公务员 无所畏惧,positive,0.9594042897224426
用人当做电池就可以了,"['用人', '当做', '电池']",用人 当做 电池,positive,0.5016545653343201
很有可能上演一部电影的结局，AI觉醒发现人类最终会毁灭在自己手里，而且人类会毁灭地球，然后AI出手干预,"['可能', '上演', '一部', '电影', '结局', 'AI', '觉醒', '发现', '人类', '最终', '毁灭', '手里', '人类', '毁灭', '地球', 'AI', '出手', '干预']",可能 上演 一部 电影 结局 AI 觉醒 发现 人类 最终 毁灭 手里 人类 毁灭 地球 AI 出手 干预,positive,0.9919297695159912
AI视频牛逼,"['AI', '视频']",AI 视频,positive,0.9175168871879578
AI注定取代大部分人力劳动，人类只有不断进步才不会被AI取代,"['AI', '注定', '取代', '大部分', '人力', '劳动', '人类', '不断进步', '不会', 'AI', '取代']",AI 注定 取代 大部分 人力 劳动 人类 不断进步 不会 AI 取代,positive,0.987371563911438
降本增笑,"['降本', '增笑']",降本 增笑,positive,0.9245836734771729
因为有苏联,['苏联'],苏联,positive,0.9112124443054199
也没看出长期的美好,"['看出', '长期', '美好']",看出 长期 美好,negative,0.5168305039405823
反正大家都没钱了，你AI也没别想赚钱,"['反正', '大家', 'AI', '没别', '赚钱']",反正 大家 AI 没别 赚钱,negative,0.5350627303123474
打坐修炼啊，大把神通等着开发,"['打坐', '修炼', '神通', '开发']",打坐 修炼 神通 开发,positive,0.9587545990943909
我就可以当道士修炼了,"['道士', '修炼']",道士 修炼,positive,0.832740306854248
我情商低,['情商'],情商,positive,0.6363539695739746
不影响卖肉行业,"['影响', '卖肉', '行业']",影响 卖肉 行业,positive,0.9335675835609436
前面那个 靠你去找人了 拉个群约个时间卢一回,"['前面', '拉个', '群约个', '时间', '一回']",前面 拉个 群约个 时间 一回,positive,0.609401285648346
散发负能量的人 先努力到那份上再说吧 地球本就弱肉强食的生态,"['散发', '能量', '努力', '那份', '地球', '弱肉强食', '生态']",散发 能量 努力 那份 地球 弱肉强食 生态,positive,0.5751679539680481
有素养了也要努力让别人看到素养呗 前面的 啥都不努力洗洗睡呗 凭啥大锅饭给懒的人吃,"['素养', '努力', '别人', '看到', '素养', '前面', '努力', '洗洗', '大锅饭']",素养 努力 别人 看到 素养 前面 努力 洗洗 大锅饭,positive,0.92924565076828
本质是不会改变的 深耕行业知识 才能提高使用AI的上限 不然永远只能是娱乐 从古至今不会改变这个真理,"['本质', '不会', '改变', '深耕', '行业', '知识', '才能', '提高', '使用', 'AI', '上限', '永远', '只能', '娱乐', '从古至今', '不会', '改变', '真理']",本质 不会 改变 深耕 行业 知识 才能 提高 使用 AI 上限 永远 只能 娱乐 从古至今 不会 改变 真理,positive,0.982324481010437
这个思路在音乐上的上限很低,"['思路', '音乐', '上限']",思路 音乐 上限,negative,0.5645079612731934
我36失业1年,['失业'],失业,positive,0.8003536462783813
工作是一种自我奴役,"['工作', '一种', '自我', '奴役']",工作 一种 自我 奴役,positive,0.9539068341255188
不论你悲观还是乐观，愿意还不愿意，在租金饭钱前面，你都是弟弟所有鸡汤都苍白无力。,"['悲观', '乐观', '愿意', '愿意', '租金', '饭钱', '前面', '弟弟', '所有', '鸡汤', '苍白无力']",悲观 乐观 愿意 愿意 租金 饭钱 前面 弟弟 所有 鸡汤 苍白无力,positive,0.5342433452606201
新盾是我大学教授！,"['新盾', '大学教授']",新盾 大学教授,positive,0.9797945618629456
还好，我学ML过,"['还好', '我学', 'ML']",还好 我学 ML,positive,0.7814170122146606
梦里啥都有,['梦里'],梦里,positive,0.9119125604629517
"我们自己在研究AI,看完视频，如看，全是虚话","['研究', 'AI', '视频', '如看', '全是', '虚话']",研究 AI 视频 如看 全是 虚话,negative,0.6733195185661316
神奇的职业道德,"['神奇', '职业道德']",神奇 职业道德,positive,0.9079410433769226
现在听起来也挺多,"['现在', '起来']",现在 起来,positive,0.9831841588020325
我觉得是想象,"['觉得', '想象']",觉得 想象,positive,0.5268341898918152
审时度势,['审时度势'],审时度势,positive,0.9697986245155334
我40，失业一年了,"['失业', '一年']",失业 一年,positive,0.655774712562561
无论怎样，记住，以人为本,"['无论怎样', '记住', '以人为本']",无论怎样 记住 以人为本,positive,0.9369599223136902
AI对理论知识好的，但实操不好的人，恰好互补，缩短和大神的距离。,"['AI', '理论知识', '实操', '不好', '恰好', '互补', '缩短', '大神', '距离']",AI 理论知识 实操 不好 恰好 互补 缩短 大神 距离,positive,0.9892817735671997
垂直领域AI不行，通用领域AI创造力不足。自己找准机会就好了。现在AI大模型都是赔钱，远远替代不了人工,"['垂直', '领域', 'AI', '不行', '通用', '领域', 'AI', '创造力', '不足', '找准', '机会', '现在', 'AI', '模型', '赔钱', '远远', '替代', '不了', '人工']",垂直 领域 AI 不行 通用 领域 AI 创造力 不足 找准 机会 现在 AI 模型 赔钱 远远 替代 不了 人工,negative,0.6721230745315552
吃喝拉撒啊,['吃喝拉撒'],吃喝拉撒,positive,0.651858389377594
取消金钱！,"['取消', '金钱']",取消 金钱,negative,0.8558967113494873
话密了噢,['话密'],话密,positive,0.7895887494087219
这个要细致研究 就加拿大 美国加州发过救济金的地区 懒汉 工作效率的确是低 有时候这种救济设置不合理的时候甚至不鼓励人去工作,"['细致', '研究', '加拿大', '美国', '加州', '救济金', '地区', '懒汉', '工作效率', '的确', '有时候', '这种', '救济', '设置', '不合理', '鼓励', '人去', '工作']",细致 研究 加拿大 美国 加州 救济金 地区 懒汉 工作效率 的确 有时候 这种 救济 设置 不合理 鼓励 人去 工作,positive,0.9489637613296509
现在的女UP好像都喜欢“诶”~~,"['现在', 'UP', '好像', '喜欢']",现在 UP 好像 喜欢,positive,0.9885243773460388
焦虑没有，阻止不了发展进程,"['焦虑', '没有', '阻止不了', '发展', '进程']",焦虑 没有 阻止不了 发展 进程,positive,0.734961986541748
人类那点儿可怜的带宽，不看可能是对的,"['人类', '点儿', '可怜', '带宽', '不看', '可能']",人类 点儿 可怜 带宽 不看 可能,positive,0.7762905359268188
人类回炉再造,"['人类', '回炉', '再造']",人类 回炉 再造,positive,0.9488522410392761
刚失业了,['失业'],失业,positive,0.634811520576477
光棍无后，对未来没有焦虑,"['光棍', '未来', '没有', '焦虑']",光棍 未来 没有 焦虑,positive,0.950501024723053
深川实现了吗？,"['深川', '实现']",深川 实现,negative,0.5587016940116882
离智能还很远,['智能'],智能,negative,0.8522937893867493
因为无法实现大规模智能化劳动，从计算机层面的算法往实际制造转化太复杂了,"['无法', '实现', '大规模', '智能化', '劳动', '计算机', '层面', '算法', '实际', '制造', '转化', '复杂']",无法 实现 大规模 智能化 劳动 计算机 层面 算法 实际 制造 转化 复杂,positive,0.7763373255729675
简单讲就是以后管理很吃香,"['简单', '以后', '管理', '吃香']",简单 以后 管理 吃香,positive,0.9520984292030334
bgm声音太大,"['bgm', '声音']",bgm 声音,negative,0.7142611145973206
从晶体智力到流体智力,"['晶体', '智力', '流体', '智力']",晶体 智力 流体 智力,positive,0.9824908375740051
这也是我正在努力做的事情,"['正在', '努力', '事情']",正在 努力 事情,positive,0.8642911911010742
百年未有之大变局,"['百年', '未有', '大变局']",百年 未有 大变局,positive,0.9643968343734741
生活质量上新台阶的硬需求,"['生活', '质量', '新台阶', '需求']",生活 质量 新台阶 需求,positive,0.9909061193466187
再就业培训,"['就业', '培训']",就业 培训,positive,0.9570605754852295
天网：你看，我又来了,['天网'],天网,positive,0.5107129216194153
技术寡头,"['技术', '寡头']",技术 寡头,positive,0.9554914236068726
失业，那也得有业才能失塞,"['失业', '有业', '才能', '失塞']",失业 有业 才能 失塞,positive,0.8085933923721313
一个人工作养活一家人,"['工作', '养活', '一家人']",工作 养活 一家人,positive,0.8877949118614197
预制菜？,['预制'],预制,negative,0.8198404312133789
其实感觉讲得很具体了,"['其实', '感觉', '讲得', '具体']",其实 感觉 讲得 具体,positive,0.971521258354187
取代了只要分配解决的好没有问题啊,"['取代', '分配', '解决', '没有', '问题']",取代 分配 解决 没有 问题,positive,0.6187484860420227
秋芝老婆,"['秋芝', '老婆']",秋芝 老婆,positive,0.9397509694099426
你有选择权？ 幽默,"['选择权', '幽默']",选择权 幽默,positive,0.8461229205131531
为啥要有价值 活着就是为了体验,"['为啥', '价值', '活着', '体验']",为啥 价值 活着 体验,positive,0.9495335817337036
应该把钱分开，类似基本工资和绩效，比如锻炼身体可以多拿钱,"['应该', '分开', '类似', '基本工资', '绩效', '锻炼身体']",应该 分开 类似 基本工资 绩效 锻炼身体,positive,0.9474361538887024
人也是不可靠的,['可靠'],可靠,negative,0.9154630899429321
全民都发 那基本等于没发,"['全民', '基本', '等于', '没发']",全民 基本 等于 没发,negative,0.9507773518562317
阵痛到你就老实了,"['阵痛', '老实']",阵痛 老实,positive,0.6266105771064758
痛苦的根本原因是分配出了问题，别甩锅给科技,"['痛苦', '根本原因', '分配', '问题', '科技']",痛苦 根本原因 分配 问题 科技,positive,0.5473007559776306
所有的一切目的都是为了让自己快乐,"['所有', '目的', '快乐']",所有 目的 快乐,positive,0.973335325717926
生物本能任务就是活着完成繁衍进化，发明出来的科技是为了人类服务。,"['生物', '本能', '任务', '活着', '完成', '繁衍', '进化', '发明', '出来', '科技', '人类', '服务']",生物 本能 任务 活着 完成 繁衍 进化 发明 出来 科技 人类 服务,positive,0.9858359098434448
理论上绝对会有这一天，只是要多久就不知道了。前提也要无产者联合起来争取。,"['理论', '绝对', '一天', '多久', '知道', '前提', '无产者', '联合', '起来', '争取']",理论 绝对 一天 多久 知道 前提 无产者 联合 起来 争取,negative,0.5882524251937866
无法拥有后代又怎么了呢,"['无法', '拥有', '后代']",无法 拥有 后代,positive,0.6522443294525146
人士惰性动物 而且安于现状,"['人士', '惰性', '动物', '安于现状']",人士 惰性 动物 安于现状,positive,0.9894315004348755
UBI车险,"['UBI', '车险']",UBI 车险,positive,0.9087092876434326
虽然他很幻想，但他不该是幻想,"['幻想', '不该', '幻想']",幻想 不该 幻想,positive,0.5079772472381592
键盘侠。,['键盘'],键盘,positive,0.8912270069122314
可以杠，也可以承认别人厉害。牛逼。,"['承认', '别人', '厉害']",承认 别人 厉害,positive,0.9739867448806763
会有一部分,['一部分'],一部分,positive,0.8814515471458435
普通人别生育了，所有问题都能解决了,"['普通人', '生育', '所有', '问题', '解决']",普通人 生育 所有 问题 解决,positive,0.9769839644432068
发生活必需品代替发钱,"['生活必需品', '代替']",生活必需品 代替,positive,0.8350273370742798
以前大巴司机两个人轮流开，一车只能拉30人去广东。现在高铁一个来回3000人只要一个司机,"['以前', '大巴', '司机', '两个', '轮流', '一车', '只能', '人去', '广东', '现在', '高铁', '来回', '司机']",以前 大巴 司机 两个 轮流 一车 只能 人去 广东 现在 高铁 来回 司机,positive,0.7416369318962097
ubi在中国一万年也不可能实现,"['ubi', '中国', '一万年', '可能', '实现']",ubi 中国 一万年 可能 实现,negative,0.6028259992599487
这个感觉就对了，完了完了完了，废了废了废了,['感觉'],感觉,negative,0.7373788952827454
走出地球,"['走出', '地球']",走出 地球,positive,0.9723953008651733
订盒饭确实不错,"['盒饭', '确实', '不错']",盒饭 确实 不错,positive,0.990717351436615
拐        点,[],,negative,0.5875558853149414
只可能送临期食物,"['可能', '临期', '食物']",可能 临期 食物,negative,0.8991005420684814
搞笑呢？,['搞笑'],搞笑,negative,0.9154759049415588
工人手套,"['工人', '手套']",工人 手套,positive,0.9079486131668091
其实现在纯手工反而也是极大具有竞争力,"['其实', '现在', '纯手工', '反而', '极大', '具有', '竞争力']",其实 现在 纯手工 反而 极大 具有 竞争力,positive,0.98817378282547
毁灭你与你有何相干,"['毁灭', '何相干']",毁灭 何相干,positive,0.5734556317329407
关于学习，需要自己有判断对错的能力,"['学习', '需要', '判断', '对错', '能力']",学习 需要 判断 对错 能力,positive,0.9880594611167908
还要考虑历史的行程,"['还要', '考虑', '历史', '行程']",还要 考虑 历史 行程,positive,0.9777060151100159
想念灭霸的响指,"['想念', '灭霸', '响指']",想念 灭霸 响指,positive,0.9866033792495728
科技原本是要把人从劳动中解救出来，结果可好，让人陷入更加无止境的劳动,"['科技', '原本', '劳动', '解救出来', '可好', '陷入', '更加', '无止境', '劳动']",科技 原本 劳动 解救出来 可好 陷入 更加 无止境 劳动,positive,0.9803788661956787
科技真的有必要进化到现在这种程度嘛,"['科技', '真的', '必要', '进化', '现在', '这种', '程度']",科技 真的 必要 进化 现在 这种 程度,positive,0.9687929749488831
那时候多好,['多好'],多好,positive,0.7013639807701111
工业革命可不止这些，还促使西方掠夺殖民全世界，就是为了消耗产能，同时爆发世界大战,"['工业革命', '不止', '促使', '西方', '掠夺', '殖民', '全世界', '消耗', '产能', '爆发', '世界大战']",工业革命 不止 促使 西方 掠夺 殖民 全世界 消耗 产能 爆发 世界大战,positive,0.9794737696647644
当然必须得ubi啊，你让人家怎么生存，就是想工作，大部分被取代了,"['当然', '必须', 'ubi', '生存', '工作', '大部分', '取代']",当然 必须 ubi 生存 工作 大部分 取代,negative,0.5168509483337402
不过是而已罢了,[],,negative,0.6929490566253662
730。硅谷最近的预测,"['硅谷', '最近', '预测']",硅谷 最近 预测,positive,0.9796177744865417
贝叶斯思维，迭代优化升级,"['贝叶斯', '思维', '迭代', '优化', '升级']",贝叶斯 思维 迭代 优化 升级,positive,0.9916180968284607
一个社会现象不可能只靠某一学科来解释，站在全球视角下，这种不过是假繁荣，经济危机还是会到来，根本矛盾没有解决,"['社会', '现象', '可能', '学科', '解释', '全球', '视角', '这种', '繁荣', '经济危机', '到来', '根本矛盾', '没有', '解决']",社会 现象 可能 学科 解释 全球 视角 这种 繁荣 经济危机 到来 根本矛盾 没有 解决,positive,0.9713664650917053
我觉得他就是一种智能工具，他没有行为自主性，需要人下指令,"['觉得', '一种', '智能工具', '没有', '行为', '自主性', '需要', '人下', '指令']",觉得 一种 智能工具 没有 行为 自主性 需要 人下 指令,positive,0.8969112038612366
工业革命阵痛期,"['工业革命', '阵痛期']",工业革命 阵痛期,positive,0.8098992109298706
懒的人不发钱也懒，最重要的是让有能力的人不愁吃饭。,"['发钱', '重要', '能力', '不愁', '吃饭']",发钱 重要 能力 不愁 吃饭,positive,0.9794149994850159
想起了罗振宇,"['想起', '罗振宇']",想起 罗振宇,positive,0.9718572497367859
结尾了，上价值给信心,"['结尾', '价值', '信心']",结尾 价值 信心,positive,0.9910332560539246
这张图感觉很AI,"['张图', '感觉', 'AI']",张图 感觉 AI,positive,0.7245100736618042
做自己想做的事情,['事情'],事情,positive,0.9662634134292603
并且研发AI不是普通人都能够参与的,"['研发', 'AI', '不是', '普通人', '能够', '参与']",研发 AI 不是 普通人 能够 参与,positive,0.9493917226791382
那会带来全面的经济衰退￼,"['那会', '带来', '全面', '经济衰退']",那会 带来 全面 经济衰退,positive,0.8317434191703796
啊？找不到啊,['不到'],不到,negative,0.5559356808662415
抓紧上票吧,"['抓紧', '上票']",抓紧 上票,positive,0.783298671245575
新钱开始布局打造新秩序,"['新钱', '布局', '打造', '秩序']",新钱 布局 打造 秩序,positive,0.9765938520431519
新人类时代,"['人类', '时代']",人类 时代,positive,0.9708031415939331
毫无疑问那就是星辰大海啊！马斯克的火星探索方兴未艾,"['毫无疑问', '星辰', '大海', '马斯克', '火星', '探索', '方兴未艾']",毫无疑问 星辰 大海 马斯克 火星 探索 方兴未艾,positive,0.9726741909980774
《补贴》,['补贴'],补贴,positive,0.8401195406913757
